Column1;col1;col2
135;u+0001f33e;\xf0\x9f\x8c\xbe
136;u+0001f33f;\xf0\x9f\x8c\xbf
137;u+0001f340;\xf0\x9f\x8d\x80
138;u+0001f341;\xf0\x9f\x8d\x81
139;u+0001f342;\xf0\x9f\x8d\x82
140;u+0001f343;\xf0\x9f\x8d\x83
141;u+0001f344;\xf0\x9f\x8d\x84
142;u+0001f345;\xf0\x9f\x8d\x85
143;u+0001f346;\xf0\x9f\x8d\x86
144;u+0001f347;\xf0\x9f\x8d\x87
145;u+0001f348;\xf0\x9f\x8d\x88
146;u+0001f349;\xf0\x9f\x8d\x89
147;u+0001f34a;\xf0\x9f\x8d\x8a
148;u+0001f34b;\xf0\x9f\x8d\x8b
149;u+0001f34c;\xf0\x9f\x8d\x8c
150;u+0001f34d;\xf0\x9f\x8d\x8d
151;u+0001f34e;\xf0\x9f\x8d\x8e
152;u+0001f34f;\xf0\x9f\x8d\x8f
153;u+0001f350;\xf0\x9f\x8d\x90
154;u+0001f351;\xf0\x9f\x8d\x91
155;u+0001f352;\xf0\x9f\x8d\x92
156;u+0001f353;\xf0\x9f\x8d\x93
157;u+0001f354;\xf0\x9f\x8d\x94
158;u+0001f355;\xf0\x9f\x8d\x95
159;u+0001f356;\xf0\x9f\x8d\x96
160;u+0001f357;\xf0\x9f\x8d\x97
161;u+0001f358;\xf0\x9f\x8d\x98
162;u+0001f359;\xf0\x9f\x8d\x99
163;u+0001f35a;\xf0\x9f\x8d\x9a
164;u+0001f35b;\xf0\x9f\x8d\x9b
165;u+0001f35c;\xf0\x9f\x8d\x9c
166;u+0001f35d;\xf0\x9f\x8d\x9d
167;u+0001f35e;\xf0\x9f\x8d\x9e
168;u+0001f35f;\xf0\x9f\x8d\x9f
169;u+0001f360;\xf0\x9f\x8d\xa0
170;u+0001f361;\xf0\x9f\x8d\xa1
171;u+0001f362;\xf0\x9f\x8d\xa2
172;u+0001f363;\xf0\x9f\x8d\xa3
173;u+0001f364;\xf0\x9f\x8d\xa4
174;u+0001f365;\xf0\x9f\x8d\xa5
175;u+0001f366;\xf0\x9f\x8d\xa6
176;u+0001f367;\xf0\x9f\x8d\xa7
177;u+0001f368;\xf0\x9f\x8d\xa8
178;u+0001f369;\xf0\x9f\x8d\xa9
179;u+0001f36a;\xf0\x9f\x8d\xaa
180;u+0001f36b;\xf0\x9f\x8d\xab
181;u+0001f36c;\xf0\x9f\x8d\xac
182;u+0001f36d;\xf0\x9f\x8d\xad
183;u+0001f36e;\xf0\x9f\x8d\xae
184;u+0001f36f;\xf0\x9f\x8d\xaf
185;u+0001f370;\xf0\x9f\x8d\xb0
186;u+0001f371;\xf0\x9f\x8d\xb1
187;u+0001f372;\xf0\x9f\x8d\xb2
188;u+0001f373;\xf0\x9f\x8d\xb3
189;u+0001f374;\xf0\x9f\x8d\xb4
190;u+0001f375;\xf0\x9f\x8d\xb5
191;u+0001f376;\xf0\x9f\x8d\xb6
192;u+0001f377;\xf0\x9f\x8d\xb7
193;u+0001f378;\xf0\x9f\x8d\xb8
194;u+0001f379;\xf0\x9f\x8d\xb9
195;u+0001f37a;\xf0\x9f\x8d\xba
196;u+0001f37b;\xf0\x9f\x8d\xbb
197;u+0001f37c;\xf0\x9f\x8d\xbc
198;u+0001f37e;\xf0\x9f\x8d\xbe
199;u+0001f37f;\xf0\x9f\x8d\xbf
200;u+0001f380;\xf0\x9f\x8e\x80
201;u+0001f381;\xf0\x9f\x8e\x81
202;u+0001f382;\xf0\x9f\x8e\x82
203;u+0001f383;\xf0\x9f\x8e\x83
204;u+0001f384;\xf0\x9f\x8e\x84
205;u+0001f385;\xf0\x9f\x8e\x85
