Column1;col1;col2
549;u+0001f503;\xf0\x9f\x94\x83
550;u+0001f504;\xf0\x9f\x94\x84
551;u+0001f505;\xf0\x9f\x94\x85
552;u+0001f506;\xf0\x9f\x94\x86
553;u+0001f507;\xf0\x9f\x94\x87
554;u+0001f508;\xf0\x9f\x94\x88
555;u+0001f509;\xf0\x9f\x94\x89
556;u+0001f50a;\xf0\x9f\x94\x8a
557;u+0001f50b;\xf0\x9f\x94\x8b
558;u+0001f50c;\xf0\x9f\x94\x8c
559;u+0001f50d;\xf0\x9f\x94\x8d
560;u+0001f50e;\xf0\x9f\x94\x8e
561;u+0001f50f;\xf0\x9f\x94\x8f
562;u+0001f510;\xf0\x9f\x94\x90
563;u+0001f511;\xf0\x9f\x94\x91
564;u+0001f512;\xf0\x9f\x94\x92
565;u+0001f513;\xf0\x9f\x94\x93
566;u+0001f514;\xf0\x9f\x94\x94
567;u+0001f515;\xf0\x9f\x94\x95
568;u+0001f516;\xf0\x9f\x94\x96
569;u+0001f517;\xf0\x9f\x94\x97
570;u+0001f518;\xf0\x9f\x94\x98
571;u+0001f519;\xf0\x9f\x94\x99
572;u+0001f51a;\xf0\x9f\x94\x9a
573;u+0001f51b;\xf0\x9f\x94\x9b
574;u+0001f51c;\xf0\x9f\x94\x9c
575;u+0001f51d;\xf0\x9f\x94\x9d
576;u+0001f51e;\xf0\x9f\x94\x9e
577;u+0001f51f;\xf0\x9f\x94\x9f
578;u+0001f520;\xf0\x9f\x94\xa0
579;u+0001f521;\xf0\x9f\x94\xa1
580;u+0001f522;\xf0\x9f\x94\xa2
581;u+0001f523;\xf0\x9f\x94\xa3
582;u+0001f524;\xf0\x9f\x94\xa4
583;u+0001f525;\xf0\x9f\x94\xa5
584;u+0001f526;\xf0\x9f\x94\xa6
585;u+0001f527;\xf0\x9f\x94\xa7
586;u+0001f528;\xf0\x9f\x94\xa8
587;u+0001f529;\xf0\x9f\x94\xa9
588;u+0001f52a;\xf0\x9f\x94\xaa
589;u+0001f52b;\xf0\x9f\x94\xab
590;u+0001f52c;\xf0\x9f\x94\xac
591;u+0001f52d;\xf0\x9f\x94\xad
592;u+0001f52e;\xf0\x9f\x94\xae
593;u+0001f52f;\xf0\x9f\x94\xaf
594;u+0001f530;\xf0\x9f\x94\xb0
595;u+0001f531;\xf0\x9f\x94\xb1
596;u+0001f532;\xf0\x9f\x94\xb2
597;u+0001f533;\xf0\x9f\x94\xb3
598;u+0001f534;\xf0\x9f\x94\xb4
599;u+0001f535;\xf0\x9f\x94\xb5
600;u+0001f536;\xf0\x9f\x94\xb6
601;u+0001f537;\xf0\x9f\x94\xb7
602;u+0001f538;\xf0\x9f\x94\xb8
603;u+0001f539;\xf0\x9f\x94\xb9
604;u+0001f53a;\xf0\x9f\x94\xba
605;u+0001f53b;\xf0\x9f\x94\xbb
606;u+0001f53c;\xf0\x9f\x94\xbc
607;u+0001f53d;\xf0\x9f\x94\xbd
608;u+0001f54b;\xf0\x9f\x95\x8b
609;u+0001f54c;\xf0\x9f\x95\x8c
610;u+0001f54d;\xf0\x9f\x95\x8d
611;u+0001f54e;\xf0\x9f\x95\x8e
612;u+0001f550;\xf0\x9f\x95\x90
613;u+0001f551;\xf0\x9f\x95\x91
614;u+0001f552;\xf0\x9f\x95\x92
615;u+0001f553;\xf0\x9f\x95\x93
616;u+0001f554;\xf0\x9f\x95\x94
617;u+0001f555;\xf0\x9f\x95\x95
618;u+0001f556;\xf0\x9f\x95\x96
619;u+0001f557;\xf0\x9f\x95\x97
620;u+0001f558;\xf0\x9f\x95\x98
621;u+0001f559;\xf0\x9f\x95\x99
622;u+0001f55a;\xf0\x9f\x95\x9a
623;u+0001f55b;\xf0\x9f\x95\x9b
624;u+0001f55c;\xf0\x9f\x95\x9c
625;u+0001f55d;\xf0\x9f\x95\x9d
626;u+0001f55e;\xf0\x9f\x95\x9e
627;u+0001f55f;\xf0\x9f\x95\x9f
628;u+0001f560;\xf0\x9f\x95\xa0
629;u+0001f561;\xf0\x9f\x95\xa1
630;u+0001f562;\xf0\x9f\x95\xa2
631;u+0001f563;\xf0\x9f\x95\xa3
632;u+0001f564;\xf0\x9f\x95\xa4
633;u+0001f565;\xf0\x9f\x95\xa5
634;u+0001f566;\xf0\x9f\x95\xa6
635;u+0001f567;\xf0\x9f\x95\xa7
636;u+0001f57a;\xf0\x9f\x95\xba
637;u+0001f595;\xf0\x9f\x96\x95
638;u+0001f596;\xf0\x9f\x96\x96
639;u+0001f5a4;\xf0\x9f\x96\xa4
640;u+0001f5fb;\xf0\x9f\x97\xbb
641;u+0001f5fc;\xf0\x9f\x97\xbc
642;u+0001f5fd;\xf0\x9f\x97\xbd
643;u+0001f5fe;\xf0\x9f\x97\xbe
644;u+0001f5ff;\xf0\x9f\x97\xbf
645;u+0001f600;\xf0\x9f\x98\x80
646;u+0001f601;\xf0\x9f\x98\x81
647;u+0001f602;\xf0\x9f\x98\x82
648;u+0001f603;\xf0\x9f\x98\x83
649;u+0001f604;\xf0\x9f\x98\x84
650;u+0001f605;\xf0\x9f\x98\x85
651;u+0001f606;\xf0\x9f\x98\x86
652;u+0001f607;\xf0\x9f\x98\x87
653;u+0001f608;\xf0\x9f\x98\x88
654;u+0001f609;\xf0\x9f\x98\x89
655;u+0001f60a;\xf0\x9f\x98\x8a
656;u+0001f60b;\xf0\x9f\x98\x8b
657;u+0001f60c;\xf0\x9f\x98\x8c
658;u+0001f60d;\xf0\x9f\x98\x8d
659;u+0001f60e;\xf0\x9f\x98\x8e
660;u+0001f60f;\xf0\x9f\x98\x8f
661;u+0001f610;\xf0\x9f\x98\x90
662;u+0001f611;\xf0\x9f\x98\x91
663;u+0001f612;\xf0\x9f\x98\x92
664;u+0001f613;\xf0\x9f\x98\x93
665;u+0001f614;\xf0\x9f\x98\x94
666;u+0001f615;\xf0\x9f\x98\x95
667;u+0001f616;\xf0\x9f\x98\x96
668;u+0001f617;\xf0\x9f\x98\x97
669;u+0001f618;\xf0\x9f\x98\x98
670;u+0001f619;\xf0\x9f\x98\x99
671;u+0001f61a;\xf0\x9f\x98\x9a
672;u+0001f61b;\xf0\x9f\x98\x9b
673;u+0001f61c;\xf0\x9f\x98\x9c
674;u+0001f61d;\xf0\x9f\x98\x9d
675;u+0001f61e;\xf0\x9f\x98\x9e
676;u+0001f61f;\xf0\x9f\x98\x9f
677;u+0001f620;\xf0\x9f\x98\xa0
678;u+0001f621;\xf0\x9f\x98\xa1
679;u+0001f622;\xf0\x9f\x98\xa2
680;u+0001f623;\xf0\x9f\x98\xa3
681;u+0001f624;\xf0\x9f\x98\xa4
682;u+0001f625;\xf0\x9f\x98\xa5
683;u+0001f626;\xf0\x9f\x98\xa6
684;u+0001f627;\xf0\x9f\x98\xa7
685;u+0001f628;\xf0\x9f\x98\xa8
686;u+0001f629;\xf0\x9f\x98\xa9
687;u+0001f62a;\xf0\x9f\x98\xaa
688;u+0001f62b;\xf0\x9f\x98\xab
689;u+0001f62c;\xf0\x9f\x98\xac
690;u+0001f62d;\xf0\x9f\x98\xad
691;u+0001f62e;\xf0\x9f\x98\xae
692;u+0001f62f;\xf0\x9f\x98\xaf
693;u+0001f630;\xf0\x9f\x98\xb0
694;u+0001f631;\xf0\x9f\x98\xb1
695;u+0001f632;\xf0\x9f\x98\xb2
696;u+0001f633;\xf0\x9f\x98\xb3
697;u+0001f634;\xf0\x9f\x98\xb4
698;u+0001f635;\xf0\x9f\x98\xb5
699;u+0001f636;\xf0\x9f\x98\xb6
700;u+0001f637;\xf0\x9f\x98\xb7
701;u+0001f638;\xf0\x9f\x98\xb8
702;u+0001f639;\xf0\x9f\x98\xb9
703;u+0001f63a;\xf0\x9f\x98\xba
704;u+0001f63b;\xf0\x9f\x98\xbb
705;u+0001f63c;\xf0\x9f\x98\xbc
706;u+0001f63d;\xf0\x9f\x98\xbd
707;u+0001f63e;\xf0\x9f\x98\xbe
708;u+0001f63f;\xf0\x9f\x98\xbf
709;u+0001f640;\xf0\x9f\x99\x80
710;u+0001f641;\xf0\x9f\x99\x81
711;u+0001f642;\xf0\x9f\x99\x82
712;u+0001f643;\xf0\x9f\x99\x83
713;u+0001f644;\xf0\x9f\x99\x84
714;u+0001f645;\xf0\x9f\x99\x85
715;u+0001f646;\xf0\x9f\x99\x86
716;u+0001f647;\xf0\x9f\x99\x87
717;u+0001f648;\xf0\x9f\x99\x88
718;u+0001f649;\xf0\x9f\x99\x89
719;u+0001f64a;\xf0\x9f\x99\x8a
720;u+0001f64b;\xf0\x9f\x99\x8b
721;u+0001f64c;\xf0\x9f\x99\x8c
722;u+0001f64d;\xf0\x9f\x99\x8d
723;u+0001f64e;\xf0\x9f\x99\x8e
724;u+0001f64f;\xf0\x9f\x99\x8f
725;u+0001f680;\xf0\x9f\x9a\x80
726;u+0001f681;\xf0\x9f\x9a\x81
727;u+0001f682;\xf0\x9f\x9a\x82
728;u+0001f683;\xf0\x9f\x9a\x83
729;u+0001f684;\xf0\x9f\x9a\x84
730;u+0001f685;\xf0\x9f\x9a\x85
731;u+0001f686;\xf0\x9f\x9a\x86
732;u+0001f687;\xf0\x9f\x9a\x87
733;u+0001f688;\xf0\x9f\x9a\x88
734;u+0001f689;\xf0\x9f\x9a\x89
735;u+0001f68a;\xf0\x9f\x9a\x8a
736;u+0001f68b;\xf0\x9f\x9a\x8b
737;u+0001f68c;\xf0\x9f\x9a\x8c
738;u+0001f68d;\xf0\x9f\x9a\x8d
739;u+0001f68e;\xf0\x9f\x9a\x8e
740;u+0001f68f;\xf0\x9f\x9a\x8f
741;u+0001f690;\xf0\x9f\x9a\x90
742;u+0001f691;\xf0\x9f\x9a\x91
743;u+0001f692;\xf0\x9f\x9a\x92
744;u+0001f693;\xf0\x9f\x9a\x93
745;u+0001f694;\xf0\x9f\x9a\x94
746;u+0001f695;\xf0\x9f\x9a\x95
747;u+0001f696;\xf0\x9f\x9a\x96
748;u+0001f697;\xf0\x9f\x9a\x97
749;u+0001f698;\xf0\x9f\x9a\x98
750;u+0001f699;\xf0\x9f\x9a\x99
751;u+0001f69a;\xf0\x9f\x9a\x9a
752;u+0001f69b;\xf0\x9f\x9a\x9b
753;u+0001f69c;\xf0\x9f\x9a\x9c
754;u+0001f69d;\xf0\x9f\x9a\x9d
755;u+0001f69e;\xf0\x9f\x9a\x9e
756;u+0001f69f;\xf0\x9f\x9a\x9f
757;u+0001f6a0;\xf0\x9f\x9a\xa0
758;u+0001f6a1;\xf0\x9f\x9a\xa1
759;u+0001f6a2;\xf0\x9f\x9a\xa2
760;u+0001f6a3;\xf0\x9f\x9a\xa3
761;u+0001f6a4;\xf0\x9f\x9a\xa4
762;u+0001f6a5;\xf0\x9f\x9a\xa5
763;u+0001f6a6;\xf0\x9f\x9a\xa6
764;u+0001f6a7;\xf0\x9f\x9a\xa7
765;u+0001f6a8;\xf0\x9f\x9a\xa8
766;u+0001f6a9;\xf0\x9f\x9a\xa9
767;u+0001f6aa;\xf0\x9f\x9a\xaa
768;u+0001f6ab;\xf0\x9f\x9a\xab
769;u+0001f6ac;\xf0\x9f\x9a\xac
770;u+0001f6ad;\xf0\x9f\x9a\xad
771;u+0001f6ae;\xf0\x9f\x9a\xae
772;u+0001f6af;\xf0\x9f\x9a\xaf
773;u+0001f6b0;\xf0\x9f\x9a\xb0
774;u+0001f6b1;\xf0\x9f\x9a\xb1
775;u+0001f6b2;\xf0\x9f\x9a\xb2
776;u+0001f6b3;\xf0\x9f\x9a\xb3
777;u+0001f6b4;\xf0\x9f\x9a\xb4
778;u+0001f6b5;\xf0\x9f\x9a\xb5
779;u+0001f6b6;\xf0\x9f\x9a\xb6
780;u+0001f6b7;\xf0\x9f\x9a\xb7
781;u+0001f6b8;\xf0\x9f\x9a\xb8
782;u+0001f6b9;\xf0\x9f\x9a\xb9
783;u+0001f6ba;\xf0\x9f\x9a\xba
784;u+0001f6bb;\xf0\x9f\x9a\xbb
785;u+0001f6bc;\xf0\x9f\x9a\xbc
786;u+0001f6bd;\xf0\x9f\x9a\xbd
787;u+0001f6be;\xf0\x9f\x9a\xbe
788;u+0001f6bf;\xf0\x9f\x9a\xbf
789;u+0001f6c0;\xf0\x9f\x9b\x80
790;u+0001f6c1;\xf0\x9f\x9b\x81
791;u+0001f6c2;\xf0\x9f\x9b\x82
792;u+0001f6c3;\xf0\x9f\x9b\x83
793;u+0001f6c4;\xf0\x9f\x9b\x84
794;u+0001f6c5;\xf0\x9f\x9b\x85
795;u+0001f6cc;\xf0\x9f\x9b\x8c
796;u+0001f6d0;\xf0\x9f\x9b\x90
797;u+0001f6d1;\xf0\x9f\x9b\x91
798;u+0001f6d2;\xf0\x9f\x9b\x92
799;u+0001f6d5;\xf0\x9f\x9b\x95
800;u+0001f6d6;\xf0\x9f\x9b\x96
801;u+0001f6d7;\xf0\x9f\x9b\x97
802;u+0001f6dc;\xf0\x9f\x9b\x9c
803;u+0001f6dd;\xf0\x9f\x9b\x9d
804;u+0001f6de;\xf0\x9f\x9b\x9e
805;u+0001f6df;\xf0\x9f\x9b\x9f
806;u+0001f6eb;\xf0\x9f\x9b\xab
807;u+0001f6ec;\xf0\x9f\x9b\xac
808;u+0001f6f4;\xf0\x9f\x9b\xb4
809;u+0001f6f5;\xf0\x9f\x9b\xb5
810;u+0001f6f6;\xf0\x9f\x9b\xb6
811;u+0001f6f7;\xf0\x9f\x9b\xb7
812;u+0001f6f8;\xf0\x9f\x9b\xb8
813;u+0001f6f9;\xf0\x9f\x9b\xb9
814;u+0001f6fa;\xf0\x9f\x9b\xba
815;u+0001f6fb;\xf0\x9f\x9b\xbb
816;u+0001f6fc;\xf0\x9f\x9b\xbc
817;u+0001f7e0;\xf0\x9f\x9f\xa0
818;u+0001f7e1;\xf0\x9f\x9f\xa1
819;u+0001f7e2;\xf0\x9f\x9f\xa2
820;u+0001f7e3;\xf0\x9f\x9f\xa3
821;u+0001f7e4;\xf0\x9f\x9f\xa4
822;u+0001f7e5;\xf0\x9f\x9f\xa5
823;u+0001f7e6;\xf0\x9f\x9f\xa6
824;u+0001f7e7;\xf0\x9f\x9f\xa7
825;u+0001f7e8;\xf0\x9f\x9f\xa8
826;u+0001f7e9;\xf0\x9f\x9f\xa9
827;u+0001f7ea;\xf0\x9f\x9f\xaa
828;u+0001f7eb;\xf0\x9f\x9f\xab
829;u+0001f7f0;\xf0\x9f\x9f\xb0
830;u+0001f90c;\xf0\x9f\xa4\x8c
831;u+0001f90d;\xf0\x9f\xa4\x8d
832;u+0001f90e;\xf0\x9f\xa4\x8e
833;u+0001f90f;\xf0\x9f\xa4\x8f
834;u+0001f910;\xf0\x9f\xa4\x90
835;u+0001f911;\xf0\x9f\xa4\x91
836;u+0001f912;\xf0\x9f\xa4\x92
837;u+0001f913;\xf0\x9f\xa4\x93
838;u+0001f914;\xf0\x9f\xa4\x94
839;u+0001f915;\xf0\x9f\xa4\x95
840;u+0001f916;\xf0\x9f\xa4\x96
841;u+0001f917;\xf0\x9f\xa4\x97
842;u+0001f918;\xf0\x9f\xa4\x98
843;u+0001f919;\xf0\x9f\xa4\x99
844;u+0001f90a;\xf0\x9f\xa4\x8a
845;u+0001f90b;\xf0\x9f\xa4\x8b
846;u+0001f90c;\xf0\x9f\xa4\x8c
847;u+0001f90d;\xf0\x9f\xa4\x8d
848;u+0001f91e;\xf0\x9f\xa4\x9e
849;u+0001f91f;\xf0\x9f\xa4\x9f
850;u+0001f920;\xf0\x9f\xa4\xa0
851;u+0001f921;\xf0\x9f\xa4\xa1
852;u+0001f922;\xf0\x9f\xa4\xa2
853;u+0001f923;\xf0\x9f\xa4\xa3
854;u+0001f924;\xf0\x9f\xa4\xa4
855;u+0001f925;\xf0\x9f\xa4\xa5
856;u+0001f926;\xf0\x9f\xa4\xa6
857;u+0001f927;\xf0\x9f\xa4\xa7
858;u+0001f928;\xf0\x9f\xa4\xa8
859;u+0001f929;\xf0\x9f\xa4\xa9
860;u+0001f92a;\xf0\x9f\xa4\xaa
861;u+0001f92b;\xf0\x9f\xa4\xab
862;u+0001f92c;\xf0\x9f\xa4\xac
863;u+0001f92d;\xf0\x9f\xa4\xad
864;u+0001f92e;\xf0\x9f\xa4\xae
865;u+0001f92f;\xf0\x9f\xa4\xaf
866;u+0001f930;\xf0\x9f\xa4\xb0
867;u+0001f931;\xf0\x9f\xa4\xb1
868;u+0001f932;\xf0\x9f\xa4\xb2
869;u+0001f933;\xf0\x9f\xa4\xb3
870;u+0001f934;\xf0\x9f\xa4\xb4
871;u+0001f935;\xf0\x9f\xa4\xb5
872;u+0001f936;\xf0\x9f\xa4\xb6
873;u+0001f937;\xf0\x9f\xa4\xb7
874;u+0001f938;\xf0\x9f\xa4\xb8
875;u+0001f939;\xf0\x9f\xa4\xb9
876;u+0001f93a;\xf0\x9f\xa4\xba
877;u+0001f93c;\xf0\x9f\xa4\xbc
878;u+0001f93d;\xf0\x9f\xa4\xbd
879;u+0001f93e;\xf0\x9f\xa4\xbe
880;u+0001f93f;\xf0\x9f\xa4\xbf
881;u+0001f940;\xf0\x9f\xa5\x80
882;u+0001f941;\xf0\x9f\xa5\x81
883;u+0001f942;\xf0\x9f\xa5\x82
884;u+0001f943;\xf0\x9f\xa5\x83
885;u+0001f944;\xf0\x9f\xa5\x84
886;u+0001f945;\xf0\x9f\xa5\x85
887;u+0001f947;\xf0\x9f\xa5\x87
888;u+0001f948;\xf0\x9f\xa5\x88
889;u+0001f949;\xf0\x9f\xa5\x89
890;u+0001f94a;\xf0\x9f\xa5\x8a
891;u+0001f94b;\xf0\x9f\xa5\x8b
892;u+0001f94c;\xf0\x9f\xa5\x8c
893;u+0001f94d;\xf0\x9f\xa5\x8d
894;u+0001f94e;\xf0\x9f\xa5\x8e
895;u+0001f94f;\xf0\x9f\xa5\x8f
896;u+0001f950;\xf0\x9f\xa5\x90
897;u+0001f951;\xf0\x9f\xa5\x91
898;u+0001f952;\xf0\x9f\xa5\x92
899;u+0001f953;\xf0\x9f\xa5\x93
900;u+0001f954;\xf0\x9f\xa5\x94
901;u+0001f955;\xf0\x9f\xa5\x95
902;u+0001f956;\xf0\x9f\xa5\x96
903;u+0001f957;\xf0\x9f\xa5\x97
904;u+0001f958;\xf0\x9f\xa5\x98
905;u+0001f959;\xf0\x9f\xa5\x99
906;u+0001f95a;\xf0\x9f\xa5\x9a
907;u+0001f95b;\xf0\x9f\xa5\x9b
908;u+0001f95c;\xf0\x9f\xa5\x9c
909;u+0001f95d;\xf0\x9f\xa5\x9d
910;u+0001f95e;\xf0\x9f\xa5\x9e
911;u+0001f95f;\xf0\x9f\xa5\x9f
912;u+0001f96b;\xf0\x9f\xa5\xab
913;u+0001f96c;\xf0\x9f\xa5\xac
914;u+0001f96d;\xf0\x9f\xa5\xad
915;u+0001f96e;\xf0\x9f\xa5\xae
916;u+0001f96f;\xf0\x9f\xa5\xaf
917;u+0001f970;\xf0\x9f\xa5\xb0
918;u+0001f971;\xf0\x9f\xa5\xb1
919;u+0001f972;\xf0\x9f\xa5\xb2
920;u+0001f973;\xf0\x9f\xa5\xb3
921;u+0001f974;\xf0\x9f\xa5\xb4
922;u+0001f975;\xf0\x9f\xa5\xb5
923;u+0001f976;\xf0\x9f\xa5\xb6
924;u+0001f977;\xf0\x9f\xa5\xb7
925;u+0001f978;\xf0\x9f\xa5\xb8
926;u+0001f979;\xf0\x9f\xa5\xb9
927;u+0001f97a;\xf0\x9f\xa5\xba
928;u+0001f97b;\xf0\x9f\xa5\xbb
929;u+0001f97c;\xf0\x9f\xa5\xbc
930;u+0001f97d;\xf0\x9f\xa5\xbd
931;u+0001f97e;\xf0\x9f\xa5\xbe
932;u+0001f97f;\xf0\x9f\xa5\xbf
933;u+0001f980;\xf0\x9f\xa6\x80
934;u+0001f981;\xf0\x9f\xa6\x81
935;u+0001f982;\xf0\x9f\xa6\x82
936;u+0001f983;\xf0\x9f\xa6\x83
937;u+0001f984;\xf0\x9f\xa6\x84
938;u+0001f985;\xf0\x9f\xa6\x85
939;u+0001f986;\xf0\x9f\xa6\x86
940;u+0001f987;\xf0\x9f\xa6\x87
941;u+0001f988;\xf0\x9f\xa6\x88
942;u+0001f989;\xf0\x9f\xa6\x89
943;u+0001f98a;\xf0\x9f\xa6\x8a
944;u+0001f98b;\xf0\x9f\xa6\x8b
945;u+0001f98c;\xf0\x9f\xa6\x8c
946;u+0001f98d;\xf0\x9f\xa6\x8d
947;u+0001f98e;\xf0\x9f\xa6\x8e
948;u+0001f98f;\xf0\x9f\xa6\x8f
949;u+0001f990;\xf0\x9f\xa6\x90
950;u+0001f991;\xf0\x9f\xa6\x91
951;u+0001f992;\xf0\x9f\xa6\x92
952;u+0001f993;\xf0\x9f\xa6\x93
953;u+0001f994;\xf0\x9f\xa6\x94
954;u+0001f995;\xf0\x9f\xa6\x95
955;u+0001f996;\xf0\x9f\xa6\x96
956;u+0001f997;\xf0\x9f\xa6\x97
957;u+0001f998;\xf0\x9f\xa6\x98
958;u+0001f999;\xf0\x9f\xa6\x99
959;u+0001f99a;\xf0\x9f\xa6\x9a
960;u+0001f99b;\xf0\x9f\xa6\x9b
961;u+0001f99c;\xf0\x9f\xa6\x9c
962;u+0001f99d;\xf0\x9f\xa6\x9d
963;u+0001f99e;\xf0\x9f\xa6\x9e
964;u+0001f99f;\xf0\x9f\xa6\x9f
965;u+0001f9a0;\xf0\x9f\xa6\xa0
966;u+0001f9a1;\xf0\x9f\xa6\xa1
967;u+0001f9a2;\xf0\x9f\xa6\xa2
968;u+0001f9a3;\xf0\x9f\xa6\xa3
969;u+0001f9a4;\xf0\x9f\xa6\xa4
970;u+0001f9a5;\xf0\x9f\xa6\xa5
971;u+0001f9a6;\xf0\x9f\xa6\xa6
972;u+0001f9a7;\xf0\x9f\xa6\xa7
973;u+0001f9a8;\xf0\x9f\xa6\xa8
974;u+0001f9a9;\xf0\x9f\xa6\xa9
975;u+0001f9aa;\xf0\x9f\xa6\xaa
976;u+0001f9ab;\xf0\x9f\xa6\xab
977;u+0001f9ac;\xf0\x9f\xa6\xac
978;u+0001f9ad;\xf0\x9f\xa6\xad
979;u+0001f9ae;\xf0\x9f\xa6\xae
980;u+0001f9af;\xf0\x9f\xa6\xaf
981;u+0001f9b0;\xf0\x9f\xa6\xb0
982;u+0001f9b1;\xf0\x9f\xa6\xb1
983;u+0001f9b2;\xf0\x9f\xa6\xb2
984;u+0001f9b3;\xf0\x9f\xa6\xb3
985;u+0001f9b4;\xf0\x9f\xa6\xb4
986;u+0001f9b5;\xf0\x9f\xa6\xb5
987;u+0001f9b6;\xf0\x9f\xa6\xb6
988;u+0001f9b7;\xf0\x9f\xa6\xb7
989;u+0001f9b8;\xf0\x9f\xa6\xb8
990;u+0001f9b9;\xf0\x9f\xa6\xb9
991;u+0001f9ba;\xf0\x9f\xa6\xba
992;u+0001f9bb;\xf0\x9f\xa6\xbb
993;u+0001f9bc;\xf0\x9f\xa6\xbc
994;u+0001f9bd;\xf0\x9f\xa6\xbd
995;u+0001f9be;\xf0\x9f\xa6\xbe
996;u+0001f9bf;\xf0\x9f\xa6\xbf
997;u+0001f9c0;\xf0\x9f\xa7\x80
998;u+0001f9c1;\xf0\x9f\xa7\x81
999;u+0001f9c2;\xf0\x9f\xa7\x82
1000;u+0001f9c3;\xf0\x9f\xa7\x83
1001;u+0001f9c4;\xf0\x9f\xa7\x84
1002;u+0001f9c5;\xf0\x9f\xa7\x85
1003;u+0001f9c6;\xf0\x9f\xa7\x86
1004;u+0001f9c7;\xf0\x9f\xa7\x87
1005;u+0001f9c8;\xf0\x9f\xa7\x88
1006;u+0001f9c9;\xf0\x9f\xa7\x89
1007;u+0001f9ca;\xf0\x9f\xa7\x8a
1008;u+0001f9cb;\xf0\x9f\xa7\x8b
1009;u+0001f9cc;\xf0\x9f\xa7\x8c
1010;u+0001f9cd;\xf0\x9f\xa7\x8d
1011;u+0001f9ce;\xf0\x9f\xa7\x8e
1012;u+0001f9cf;\xf0\x9f\xa7\x8f
1013;u+0001f9d0;\xf0\x9f\xa7\x90
1014;u+0001f9d1;\xf0\x9f\xa7\x91
1015;u+0001f9d2;\xf0\x9f\xa7\x92
1016;u+0001f9d3;\xf0\x9f\xa7\x93
1017;u+0001f9d4;\xf0\x9f\xa7\x94
1018;u+0001f9d5;\xf0\x9f\xa7\x95
1019;u+0001f9d6;\xf0\x9f\xa7\x96
1020;u+0001f9d7;\xf0\x9f\xa7\x97
1021;u+0001f9d8;\xf0\x9f\xa7\x98
1022;u+0001f9d9;\xf0\x9f\xa7\x99
1023;u+0001f9da;\xf0\x9f\xa7\x9a
1024;u+0001f9db;\xf0\x9f\xa7\x9b
1025;u+0001f9dc;\xf0\x9f\xa7\x9c
1026;u+0001f9dd;\xf0\x9f\xa7\x9d
1027;u+0001f9de;\xf0\x9f\xa7\x9e
1028;u+0001f9df;\xf0\x9f\xa7\x9f
1029;u+0001f9e0;\xf0\x9f\xa7\xa0
1030;u+0001f9e1;\xf0\x9f\xa7\xa1
1031;u+0001f9e2;\xf0\x9f\xa7\xa2
1032;u+0001f9e3;\xf0\x9f\xa7\xa3
1033;u+0001f9e4;\xf0\x9f\xa7\xa4
1034;u+0001f9e5;\xf0\x9f\xa7\xa5
1035;u+0001f9e6;\xf0\x9f\xa7\xa6
1036;u+0001f9e7;\xf0\x9f\xa7\xa7
1037;u+0001f9e8;\xf0\x9f\xa7\xa8
1038;u+0001f9e9;\xf0\x9f\xa7\xa9
1039;u+0001f9ea;\xf0\x9f\xa7\xaa
1040;u+0001f9eb;\xf0\x9f\xa7\xab
1041;u+0001f9ec;\xf0\x9f\xa7\xac
1042;u+0001f9ed;\xf0\x9f\xa7\xad
1043;u+0001f9ee;\xf0\x9f\xa7\xae
1044;u+0001f9ef;\xf0\x9f\xa7\xaf
1045;u+0001f9f0;\xf0\x9f\xa7\xb0
1046;u+0001f9f1;\xf0\x9f\xa7\xb1
1047;u+0001f9f2;\xf0\x9f\xa7\xb2
1048;u+0001f9f3;\xf0\x9f\xa7\xb3
1049;u+0001f9f4;\xf0\x9f\xa7\xb4
1050;u+0001f9f5;\xf0\x9f\xa7\xb5
1051;u+0001f9f6;\xf0\x9f\xa7\xb6
1052;u+0001f9f7;\xf0\x9f\xa7\xb7
1053;u+0001f9f8;\xf0\x9f\xa7\xb8
1054;u+0001f9f9;\xf0\x9f\xa7\xb9
1055;u+0001f9fa;\xf0\x9f\xa7\xba
1056;u+0001f9fb;\xf0\x9f\xa7\xbb
1057;u+0001f9fc;\xf0\x9f\xa7\xbc
1058;u+0001f9fd;\xf0\x9f\xa7\xbd
1059;u+0001f9fe;\xf0\x9f\xa7\xbe
1060;u+0001f9ff;\xf0\x9f\xa7\xbf
1061;u+0001fa70;\xf0\x9f\xa9\xb0
1062;u+0001fa71;\xf0\x9f\xa9\xb1
1063;u+0001fa72;\xf0\x9f\xa9\xb2
1064;u+0001fa73;\xf0\x9f\xa9\xb3
1065;u+0001fa74;\xf0\x9f\xa9\xb4
1066;u+0001fa75;\xf0\x9f\xa9\xb5
1067;u+0001fa76;\xf0\x9f\xa9\xb6
1068;u+0001fa77;\xf0\x9f\xa9\xb7
1069;u+0001fa78;\xf0\x9f\xa9\xb8
1070;u+0001fa79;\xf0\x9f\xa9\xb9
1071;u+0001fa7a;\xf0\x9f\xa9\xba
1072;u+0001fa7b;\xf0\x9f\xa9\xbb
1073;u+0001fa7c;\xf0\x9f\xa9\xbc
1074;u+0001fa80;\xf0\x9f\xaa\x80
1075;u+0001fa81;\xf0\x9f\xaa\x81
1076;u+0001fa82;\xf0\x9f\xaa\x82
1077;u+0001fa83;\xf0\x9f\xaa\x83
1078;u+0001fa84;\xf0\x9f\xaa\x84
