,col1
0,\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb7\xf3\xa0\x81\xac\xf3\xa0\x81\xb3\xf3\xa0\x81\xbf
1,\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xa5\xf3\xa0\x81\xae\xf3\xa0\x81\xa7\xf3\xa0\x81\xbf
2,\xf0\x9f\x8f\xb4\xf3\xa0\x81\xa7\xf3\xa0\x81\xa2\xf3\xa0\x81\xb3\xf3\xa0\x81\xa3\xf3\xa0\x81\xb4\xf3\xa0\x81\xbf
3,\xf0\x9f\x87\xb3\xf0\x9f\x87\xb5
4,\xf0\x9f\x87\xbd\xf0\x9f\x87\xb0
5,\xf0\x9f\x99\x8d\xf0\x9f\x8f\xbf
6,\xf0\x9f\x91\x8a\xf0\x9f\x8f\xbe
7,\xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd
8,\xf0\x9f\x91\xb5\xf0\x9f\x8f\xbb
9,\xf0\x9f\x87\xb5\xf0\x9f\x87\xbc
10,\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbc
11,\xf0\x9f\x87\xb8\xf0\x9f\x87\xb8
12,\xf0\x9f\xab\x85\xf0\x9f\x8f\xbe
13,\xf0\x9f\x87\xbe\xf0\x9f\x87\xaa
14,\xf0\x9f\x99\x86\xf0\x9f\x8f\xbc
15,\xf0\x9f\x87\xb0\xf0\x9f\x87\xb3
16,\xf0\x9f\xa4\xb7\xf0\x9f\x8f\xbc
17,\xf0\x9f\x91\xb0\xf0\x9f\x8f\xbd
18,\xf0\x9f\xa6\xbb\xf0\x9f\x8f\xbe
19,\xf0\x9f\x87\xac\xf0\x9f\x87\xac
20,\xf0\x9f\x87\xb8\xf0\x9f\x87\xb7
21,\xf0\x9f\xa7\x93\xf0\x9f\x8f\xbb
22,\xf0\x9f\x8f\x82\xf0\x9f\x8f\xbc
23,\xf0\x9f\xa4\x9c\xf0\x9f\x8f\xbd
24,\xf0\x9f\x87\xa6\xf0\x9f\x87\xac
25,\xf0\x9f\xa6\xb8\xf0\x9f\x8f\xbe
26,\xf0\x9f\x87\xa6\xf0\x9f\x87\xb7
27,\xf0\x9f\x87\xae\xf0\x9f\x87\xb6
28,\xf0\x9f\x91\xb1\xf0\x9f\x8f\xbf
29,\xf0\x9f\xa4\x9b\xf0\x9f\x8f\xbe
30,\xf0\x9f\xab\xb1\xf0\x9f\x8f\xbd
31,\xf0\x9f\x87\xa7\xf0\x9f\x87\xb1
32,\xf0\x9f\xab\xb0\xf0\x9f\x8f\xbf
33,\xf0\x9f\xa7\x94\xf0\x9f\x8f\xbc
34,\xf0\x9f\xab\xb4\xf0\x9f\x8f\xbd
35,\xf0\x9f\x92\x83\xf0\x9f\x8f\xbe
36,\xf0\x9f\x91\x8b\xf0\x9f\x8f\xbc
37,\xf0\x9f\x87\xa6\xf0\x9f\x87\xaa
38,\xf0\x9f\xa7\x96\xf0\x9f\x8f\xbe
39,\xf0\x9f\x87\xad\xf0\x9f\x87\xb9
40,\xf0\x9f\xa4\x9d\xf0\x9f\x8f\xbf
41,\xf0\x9f\x87\xb1\xf0\x9f\x87\xae
42,\xf0\x9f\x95\xb5\xf0\x9f\x8f\xbb
43,\xf0\x9f\x87\xa9\xf0\x9f\x87\xaa
44,\xf0\x9f\x87\xa7\xf0\x9f\x87\xbf
45,\xf0\x9f\xa7\x9b\xf0\x9f\x8f\xbb
46,\xf0\x9f\x91\xa6\xf0\x9f\x8f\xbc
47,\xf0\x9f\x91\xa9\xf0\x9f\x8f\xbd
48,\xf0\x9f\xa4\x9c\xf0\x9f\x8f\xbe
49,\xf0\x9f\xa7\x9b\xf0\x9f\x8f\xbc
50,\xf0\x9f\x91\xb2\xf0\x9f\x8f\xbd
51,\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbd
52,\xf0\x9f\x91\xb5\xf0\x9f\x8f\xbc
53,\xf0\x9f\xa4\xb0\xf0\x9f\x8f\xbd
54,\xf0\x9f\x87\xa8\xf0\x9f\x87\xbf
55,\xf0\x9f\x91\xb5\xf0\x9f\x8f\xbf
56,\xf0\x9f\x87\xae\xf0\x9f\x87\xb3
57,\xf0\x9f\x96\x96\xf0\x9f\x8f\xbd
58,\xf0\x9f\x87\xb0\xf0\x9f\x87\xbe
59,\xf0\x9f\x9a\xb6\xf0\x9f\x8f\xbf
60,\xf0\x9f\x87\xac\xf0\x9f\x87\xad
61,\xf0\x9f\x91\xb3\xf0\x9f\x8f\xbf
62,\xf0\x9f\xa4\x8c\xf0\x9f\x8f\xbd
63,\xf0\x9f\xa4\xbd\xf0\x9f\x8f\xbe
64,\xf0\x9f\xa4\xb4\xf0\x9f\x8f\xbc
65,\xf0\x9f\x87\xa8\xf0\x9f\x87\xbc
66,\xf0\x9f\x87\xae\xf0\x9f\x87\xb8
67,\xf0\x9f\xa4\xb0\xf0\x9f\x8f\xbc
68,\xf0\x9f\x87\xa7\xf0\x9f\x87\xb2
69,\xf0\x9f\xa7\x8d\xf0\x9f\x8f\xbc
70,\xf0\x9f\xab\xb3\xf0\x9f\x8f\xbc
71,\xf0\x9f\x87\xad\xf0\x9f\x87\xb3
72,\xf0\x9f\x91\x83\xf0\x9f\x8f\xbe
73,\xf0\x9f\x99\x86\xf0\x9f\x8f\xbe
74,\xf0\x9f\x96\x96\xf0\x9f\x8f\xbc
75,\xf0\x9f\xa7\x95\xf0\x9f\x8f\xbf
76,\xf0\x9f\x92\x8f\xf0\x9f\x8f\xbd
77,\xf0\x9f\x8f\x82\xf0\x9f\x8f\xbd
78,\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbd
79,\xf0\x9f\x92\x8f\xf0\x9f\x8f\xbf
80,\xf0\x9f\xa7\x97\xf0\x9f\x8f\xbb
81,\xf0\x9f\xa4\xb8\xf0\x9f\x8f\xbe
82,\xf0\x9f\xa4\x9c\xf0\x9f\x8f\xbc
83,\xf0\x9f\x91\xb2\xf0\x9f\x8f\xbf
84,\xf0\x9f\x96\x90\xf0\x9f\x8f\xbf
85,\xf0\x9f\x91\x8e\xf0\x9f\x8f\xbc
86,\xf0\x9f\x87\xa8\xf0\x9f\x87\xba
87,\xf0\x9f\x87\xbb\xf0\x9f\x87\xac
88,\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbd
89,\xf0\x9f\xa4\x9d\xf0\x9f\x8f\xbb
90,\xf0\x9f\xa4\xb0\xf0\x9f\x8f\xbf
91,\xf0\x9f\x87\xab\xf0\x9f\x87\xb0
92,\xf0\x9f\x87\xaa\xf0\x9f\x87\xad
93,\xf0\x9f\xa7\x94\xf0\x9f\x8f\xbb
