,col1
333,u+0001f427
334,u+0001f428
335,u+0001f429
336,u+0001f42a
337,u+0001f42b
338,u+0001f42c
339,u+0001f42d
340,u+0001f42e
341,u+0001f42f
342,u+0001f430
343,u+0001f431
344,u+0001f432
345,u+0001f433
346,u+0001f434
347,u+0001f435
348,u+0001f436
349,u+0001f437
350,u+0001f438
351,u+0001f439
352,u+0001f43a
353,u+0001f43b
354,u+0001f43c
355,u+0001f43d
356,u+0001f43e
357,u+0001f440
358,u+0001f442
359,u+0001f443
360,u+0001f444
361,u+0001f445
362,u+0001f446
363,u+0001f447
364,u+0001f448
365,u+0001f449
366,u+0001f44a
367,u+0001f44b
368,u+0001f44c
369,u+0001f44d
370,u+0001f44e
371,u+0001f44f
372,u+0001f450
373,u+0001f451
374,u+0001f452
375,u+0001f453
376,u+0001f454
377,u+0001f455
378,u+0001f456
379,u+0001f457
380,u+0001f458
381,u+0001f459
382,u+0001f45a
383,u+0001f45b
384,u+0001f45c
385,u+0001f45d
386,u+0001f45e
387,u+0001f45f
388,u+0001f460
389,u+0001f461
390,u+0001f462
391,u+0001f463
392,u+0001f464
393,u+0001f465
394,u+0001f466
395,u+0001f467
396,u+0001f468
397,u+0001f469
398,u+0001f46a
399,u+0001f46b
400,u+0001f46c
401,u+0001f46d
402,u+0001f46e
403,u+0001f46f
404,u+0001f470
405,u+0001f471
406,u+0001f472
407,u+0001f473
408,u+0001f474
409,u+0001f475
410,u+0001f476
411,u+0001f477
412,u+0001f478
413,u+0001f479
414,u+0001f47a
415,u+0001f47b
416,u+0001f47c
417,u+0001f47d
418,u+0001f47e
419,u+0001f47f
420,u+0001f480
421,u+0001f481
422,u+0001f482
423,u+0001f483
424,u+0001f484
425,u+0001f485
426,u+0001f486
427,u+0001f487
428,u+0001f488
429,u+0001f489
430,u+0001f48a
431,u+0001f48b
432,u+0001f48c
433,u+0001f48d
434,u+0001f48e
435,u+0001f48f
436,u+0001f490
437,u+0001f491
438,u+0001f492
439,u+0001f493
440,u+0001f494
441,u+0001f495
442,u+0001f496
443,u+0001f497
444,u+0001f498
445,u+0001f499
446,u+0001f49a
447,u+0001f49b
448,u+0001f49c
449,u+0001f49d
450,u+0001f49e
451,u+0001f49f
452,u+0001f4a0
453,u+0001f4a1
454,u+0001f4a2
455,u+0001f4a3
456,u+0001f4a4
457,u+0001f4a5
458,u+0001f4a6
459,u+0001f4a7
460,u+0001f4a8
461,u+0001f4a9
462,u+0001f4aa
463,u+0001f4ab
464,u+0001f4ac
465,u+0001f4ad
466,u+0001f4ae
467,u+0001f4af
468,u+0001f4b0
469,u+0001f4b1
470,u+0001f4b2
471,u+0001f4b3
472,u+0001f4b4
473,u+0001f4b5
474,u+0001f4b6
475,u+0001f4b7
476,u+0001f4b8
477,u+0001f4b9
478,u+0001f4ba
479,u+0001f4bb
480,u+0001f4bc
481,u+0001f4bd
482,u+0001f4be
483,u+0001f4bf
484,u+0001f4c0
485,u+0001f4c1
486,u+0001f4c2
487,u+0001f4c3
488,u+0001f4c4
489,u+0001f4c5
490,u+0001f4c6
491,u+0001f4c7
492,u+0001f4c8
493,u+0001f4c9
494,u+0001f4ca
495,u+0001f4cb
496,u+0001f4cc
497,u+0001f4cd
498,u+0001f4ce
499,u+0001f4cf
500,u+0001f4d0
501,u+0001f4d1
502,u+0001f4d2
503,u+0001f4d3
504,u+0001f4d4
505,u+0001f4d5
506,u+0001f4d6
507,u+0001f4d7
508,u+0001f4d8
509,u+0001f4d9
510,u+0001f4da
511,u+0001f4db
512,u+0001f4dc
513,u+0001f4dd
514,u+0001f4de
515,u+0001f4df
516,u+0001f4e0
517,u+0001f4e1
518,u+0001f4e2
519,u+0001f4e3
520,u+0001f4e4
521,u+0001f4e5
522,u+0001f4e6
523,u+0001f4e7
524,u+0001f4e8
525,u+0001f4e9
526,u+0001f4ea
527,u+0001f4eb
528,u+0001f4ec
529,u+0001f4ed
530,u+0001f4ee
531,u+0001f4ef
532,u+0001f4f0
533,u+0001f4f1
534,u+0001f4f2
535,u+0001f4f3
536,u+0001f4f4
537,u+0001f4f5
538,u+0001f4f6
539,u+0001f4f7
540,u+0001f4f8
541,u+0001f4f9
542,u+0001f4fa
543,u+0001f4fb
544,u+0001f4fc
545,u+0001f4ff
546,u+0001f500
547,u+0001f501
548,u+0001f502
549,u+0001f503
550,u+0001f504
551,u+0001f505
552,u+0001f506
553,u+0001f507
554,u+0001f508
555,u+0001f509
556,u+0001f50a
557,u+0001f50b
558,u+0001f50c
559,u+0001f50d
560,u+0001f50e
561,u+0001f50f
562,u+0001f510
563,u+0001f511
564,u+0001f512
565,u+0001f513
566,u+0001f514
567,u+0001f515
568,u+0001f516
569,u+0001f517
570,u+0001f518
571,u+0001f519
572,u+0001f51a
573,u+0001f51b
574,u+0001f51c
575,u+0001f51d
576,u+0001f51e
577,u+0001f51f
578,u+0001f520
579,u+0001f521
580,u+0001f522
581,u+0001f523
582,u+0001f524
583,u+0001f525
584,u+0001f526
585,u+0001f527
586,u+0001f528
587,u+0001f529
588,u+0001f52a
589,u+0001f52b
590,u+0001f52c
591,u+0001f52d
592,u+0001f52e
593,u+0001f52f
594,u+0001f530
595,u+0001f531
596,u+0001f532
597,u+0001f533
598,u+0001f534
599,u+0001f535
600,u+0001f536
601,u+0001f537
602,u+0001f538
603,u+0001f539
604,u+0001f53a
605,u+0001f53b
606,u+0001f53c
607,u+0001f53d
608,u+0001f54b
609,u+0001f54c
610,u+0001f54d
611,u+0001f54e
612,u+0001f550
613,u+0001f551
614,u+0001f552
615,u+0001f553
616,u+0001f554
617,u+0001f555
618,u+0001f556
619,u+0001f557
620,u+0001f558
621,u+0001f559
622,u+0001f55a
623,u+0001f55b
624,u+0001f55c
625,u+0001f55d
626,u+0001f55e
627,u+0001f55f
628,u+0001f560
629,u+0001f561
630,u+0001f562
631,u+0001f563
632,u+0001f564
633,u+0001f565
634,u+0001f566
635,u+0001f567
636,u+0001f57a
637,u+0001f595
638,u+0001f596
639,u+0001f5a4
640,u+0001f5fb
641,u+0001f5fc
642,u+0001f5fd
643,u+0001f5fe
644,u+0001f5ff
645,u+0001f600
646,u+0001f601
647,u+0001f602
648,u+0001f603
649,u+0001f604
650,u+0001f605
651,u+0001f606
652,u+0001f607
653,u+0001f608
654,u+0001f609
655,u+0001f60a
656,u+0001f60b
657,u+0001f60c
658,u+0001f60d
659,u+0001f60e
660,u+0001f60f
661,u+0001f610
662,u+0001f611
663,u+0001f612
664,u+0001f613
665,u+0001f614
